Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage
SQT056_unpaired_qualimap								41.479681845340586		18.58484971009782	0.2500513899056607	0.03599232731797906	0.008897358921497681	0.005255244141978758	0
SQT096_paired	3.4318	92.15797904238269	72985105.0	79195644.0	1.11										
SQT096_paired_flagstats						79195644	72985105								
SQT096_paired_qualimap								40.94169536968432	256	84.91716928099257	20.398465379202747	4.495089394254538	0.6247057990680696	0.1816071592493994	2
SQT096_unpaired	0.1738	75.71205549334832	4682431.0	6184525.0	1.03										
SQT096_unpaired_flagstats						6184525	4682431								
SQT096_unpaired_qualimap								41.74866584126715		13.263455365404582	0.09837890487006042	0.018223289687443144	0.006381479517724672	0.0037891277800302246	0
SQT118_paired	3.6985	92.86274089053795	78641139.0	84685352.0	1.1199999999999999										
SQT118_paired_flagstats						84685352	78641139								
SQT118_paired_qualimap								40.58489818400912	236	85.76369049030419	22.613638339298127	5.081906614963725	0.7769809344007647	0.22787729010469437	2
SQT118_unpaired	0.2867	81.62329428249511	7784807.0	9537482.0	1.03										
SQT118_unpaired_flagstats						9537482	7784807								
SQT118_unpaired_qualimap								41.665004592896736		20.183175264770487	0.28257390494846496	0.04040811621615881	0.009792046157515843	0.006229138672304771	0
SQT121_paired	2.6008	92.46435517203308	55575120.0	60104372.0	1.1199999999999999										
SQT121_paired_flagstats						60104372	55575120								
SQT121_paired_qualimap								40.455429663453124	241	76.75701719122361	13.335838258687975	3.11032567216372	0.33187980631371417	0.09376040923259146	2
SQT121_unpaired	0.1721	79.12924834434008	4683134.0	5918335.0	1.03										
SQT121_unpaired_flagstats						5918335	4683134								
SQT121_unpaired_qualimap								41.52501385894674		13.311209478661752	0.09263637603274111	0.01789704798420654	0.005869722254770619	0.003325853905744431	0
scaa0503_paired	3.0446	92.63756984910823	64783964.0	69932711.0	1.13										
scaa0503_paired_flagstats						69932711	64783964								
scaa0503_paired_qualimap								40.729690634746696	234	80.33912836062325	16.965200273114707	3.950903777036698	0.514715779712833	0.1518732737507224	2
scaa0503_unpaired	0.3071	83.71201056441163	8431097.0	10071550.0	1.04										
scaa0503_unpaired_flagstats						10071550	8431097								
scaa0503_unpaired_qualimap								41.71336162493712		21.213533265387824	0.3357752068401879	0.04678369958551796	0.009893204172847126	0.006273253228147979	0
scca0200_paired	3.903	95.93535156588582	83177267.0	86701373.0	1.13										
scca0200_paired_flagstats						86701373	83177267								
scca0200_paired_qualimap								40.363614299956055	228	87.14786971228956	23.872701221929294	5.515669201111123	0.8998237402566095	0.2817978865780444	3
scca0200_unpaired	0.4285	90.59014484156498	12168244.0	13432194.0	1.04										
scca0200_unpaired_flagstats						13432194	12168244								
scca0200_unpaired_qualimap								41.5093852024277		27.984920386020633	0.6364387080878563	0.09800446392988402	0.014385110215287742	0.009023060542374584	0
scca0201_paired	3.7824	95.53197279657529	82240426.0	86086808.0	1.0999999999999999										
scca0201_paired_flagstats						86086808	82240426								
scca0201_paired_qualimap								40.32687786172605	237	88.20516810276311	22.785359540243753	4.975966539156278	0.7667275679120962	0.23369810274320404	3
scca0201_unpaired	0.3536	89.53805338076066	10159925.0	11347047.0	1.01										
scca0201_unpaired_flagstats						11347047	10159925								
scca0201_unpaired_qualimap								41.40448881244746		24.458881409982244	0.40285764033781113	0.05928946578774616	0.011580994401959475	0.007534389636979643	0
scca0207_paired	3.5892	95.3462578772552	75472343.0	79156062.0	1.09										
scca0207_paired_flagstats						79156062	75472343								
scca0207_paired_qualimap								40.43776747758572	240	86.62022211637665	21.298320660301215	4.650321767663234	0.6771151700925782	0.20022755097736353	2
scca0207_unpaired	0.3284	89.3296089655036	9256678.0	10362385.0	0.9900000000000001										
scca0207_unpaired_flagstats						10362385	9256678								
scca0207_unpaired_qualimap								41.62995143400438		23.151581995496915	0.3369045678849469	0.048057480746266035	0.010934407143851785	0.007134339522275902	0
scca0506_paired	2.8967	92.79369489040907	62042037.0	66860186.0	1.1400000000000001										
scca0506_paired_flagstats						66860186	62042037								
scca0506_paired_qualimap								40.738883278456456	221	77.75706685810424	15.744430707460642	3.817074493232761	0.47771464272089365	0.13710583738479354	2
scca0506_unpaired	0.3744	85.5227111213469	10568481.0	12357514.0	1.04										
scca0506_unpaired_flagstats						12357514	10568481								
scca0506_unpaired_qualimap								41.826414267817086		24.87046428433204	0.4984929181937389	0.07099349788812824	0.01179801528456978	0.007501783226139012	0
scca0507_paired	3.0733	93.12401207181337	66094694.0	70974921.0	1.13										
scca0507_paired_flagstats						70974921	66094694								
scca0507_paired_qualimap								40.310958674855016	210	78.89910106995245	17.1497340175724	4.1592112534507155	0.573316213078033	0.16391455843381886	2
scca0507_unpaired	0.3803	85.80686074098391	10351242.0	12063420.0	1.05										
scca0507_unpaired_flagstats						12063420	10351242								
scca0507_unpaired_qualimap								41.08619160590049		25.19825021013695	0.5325800792103347	0.07594647562895909	0.012147450872641822	0.007482674022400167	0
scca0509_paired	3.2106	92.47529686501056	68470858.0	74042323.0	1.1199999999999999										
scca0509_paired_flagstats						74042323	68470858								
scca0509_paired_qualimap								40.69390582847505	222	81.41984390815286	18.551591135521413	4.208835191638042	0.5578314001546442	0.16669459238816026	2
scca0509_unpaired	0.3395	83.18923773275017	9287343.0	11164116.0	1.03										
scca0509_unpaired_flagstats						11164116	9287343								
scca0509_unpaired_qualimap								41.648208869280715		23.241378701231305	0.39251778516679303	0.05938252547881637	0.011547926244560098	0.007658244271621564	0
scca0539_paired	2.6502	92.61029371620583	56571047.0	61085053.0	1.1199999999999999										
scca0539_paired_flagstats						61085053	56571047								
scca0539_paired_qualimap								40.39448107456586	249	77.300428921209	13.469695780069927	3.2194391544745935	0.3522512830683048	0.09560224521749447	2
scca0539_unpaired	0.1775	80.25127051526434	4861760.0	6058172.0	1.02										
scca0539_unpaired_flagstats						6058172	4861760								
scca0539_unpaired_qualimap								41.26459608036778		13.45782477331011	0.0992467752867053	0.01876804406986446	0.006455536561954212	0.003931487795988015	0
scca0540_paired	2.5329	92.9727911613586	53829170.0	57897767.0	1.1400000000000001										
scca0540_paired_flagstats						57897767	53829170								
scca0540_paired_qualimap								40.693974017733794	246	75.24691087396481	12.460079790061087	3.098448520622774	0.36878568143868784	0.10749843492424672	2
scca0540_unpaired	0.1926	82.40776330746489	5231258.0	6348016.0	1.05										
scca0540_unpaired_flagstats						6348016	5231258								
scca0540_unpaired_qualimap								41.61312301866854		14.386455176456469	0.13701693341275203	0.02311084149279639	0.007234147816897008	0.004286393304832887	0
scca0548_paired	3.4223	95.34853079560264	71570436.0	75061918.0	1.09										
scca0548_paired_flagstats						75061918	71570436								
scca0548_paired_qualimap								40.63808082658491	231	82.28495389731266	21.164033217354106	4.836466687940254	0.6152122543012996	0.1753503157835699	2
scca0548_unpaired	0.343	90.01523229836842	9282639.0	10312298.0	1.0										
scca0548_unpaired_flagstats						10312298	9282639								
scca0548_unpaired_qualimap								41.837441480293464		22.590985266239876	0.42125440465547825	0.05471632786993242	0.01116101814729757	0.007090224966432694	0
scca0549_paired	3.5241	95.22766921089838	75375218.0	79152644.0	1.11										
scca0549_paired_flagstats						79152644	75375218								
scca0549_paired_qualimap								40.579730563948694	219	82.63178981674	21.922766460537748	5.0122391111164495	0.6678803099556038	0.19124029355277472	2
scca0549_unpaired	0.37	90.44838156277785	10047425.0	11108463.0	1.02										
scca0549_unpaired_flagstats						11108463	10047425								
scca0549_unpaired_qualimap								41.67450534542224		24.04192717999043	0.47893003070144347	0.06346479128571776	0.012432455056285862	0.007913625637573788	0
scca0550_paired	3.1371	95.56701501646403	67165256.0	70280793.0	1.09										
scca0550_paired_flagstats						70280793	67165256								
scca0550_paired_qualimap								40.53292059855983	218	79.26029258333428	18.68117949029707	4.253836229836108	0.5060459197689325	0.13722567837627098	2
scca0550_unpaired	0.3033	90.07230065676845	8232384.0	9139751.0	1.0										
scca0550_unpaired_flagstats						9139751	8232384								
scca0550_unpaired_qualimap								41.55313766184732		20.382089288864083	0.3264872458489578	0.04191490179424299	0.010549559146620582	0.00663867235094582	0
scca0551_paired	3.1037	95.84038126928228	66360571.0	69240721.0	1.15										
scca0551_paired_flagstats						69240721	66360571								
scca0551_paired_qualimap								40.63070546044456	205	76.54456046023272	18.19343748826853	4.378447240860219	0.5831633491519038	0.16741775853708757	2
scca0551_unpaired	0.4441	91.6047854196322	12187326.0	13304246.0	1.05										
scca0551_unpaired_flagstats						13304246	12187326								
scca0551_unpaired_qualimap								41.50397592711265		27.022157570694922	0.7588469393939896	0.11339664338979531	0.014406776784582714	0.008753365033101253	0
scca0554_paired	2.8364	95.2325246803016	61432138.0	64507518.0	1.0699999999999998										
scca0554_paired_flagstats						64507518	61432138								
scca0554_paired_qualimap								40.37817582064885	225	78.3259504107752	15.64348186332047	3.4135437684881635	0.38760551216106387	0.11069876480394454	2
scca0554_unpaired	0.2891	87.58562370758433	8190722.0	9351674.0	0.98										
scca0554_unpaired_flagstats						9351674	8190722								
scca0554_unpaired_qualimap								41.529888148646165		20.25715729294371	0.27142375560478094	0.03982421993314231	0.010918565684990215	0.006523697457818233	0
scca0561_paired	3.1694	95.85274069532271	68822749.0	71800502.0	1.04										
scca0561_paired_flagstats						71800502	68822749								
scca0561_paired_qualimap								41.91114474733801	213	82.87259213892226	20.033178777667267	3.7727504820467135	0.4387460746800725	0.13841240255121254	2
scca0561_unpaired	0.4443	90.99399375426648	12800601.0	14067523.0	0.95										
scca0561_unpaired_flagstats						14067523	12800601								
scca0561_unpaired_qualimap								42.63119499436817		30.439545450322573	0.5453795872618571	0.08766503498645861	0.010753047303163043	0.0052856483769238355	0
scca0583_paired	3.9972	95.61560008330353	83986652.0	87837813.0	1.1400000000000001										
scca0583_paired_flagstats						87837813	83986652								
scca0583_paired_qualimap								40.29697045270555	229	87.61742813483471	24.800999025477495	5.657179532362891	0.9505711078213634	0.2975188651067484	3
scca0583_unpaired	0.4389	89.92132246881496	12284909.0	13661842.0	1.04										
scca0583_unpaired_flagstats						13661842	12284909								
scca0583_unpaired_qualimap								41.33064601872555		28.501983436605368	0.6712539013517292	0.10612527169647022	0.014042707382495051	0.00876313274876702	0
scca0586_paired	3.5468	95.63446951912495	77656772.0	81201655.0	1.09										
scca0586_paired_flagstats						81201655	77656772								
scca0586_paired_qualimap								41.08351791112265	223	85.951641798638	21.861448542117433	4.813627424461932	0.6824747689568335	0.21132960764100592	2
scca0586_unpaired	0.4181	90.7330320819574	12082623.0	13316675.0	1.0										
scca0586_unpaired_flagstats						13316675	12082623								
scca0586_unpaired_qualimap								42.07994658056443		28.168852758864013	0.5861233577072577	0.08957574224654678	0.011242143465772519	0.0067202238970134566	0
scca0587_paired	4.0707	95.46037088037784	86950853.0	91085811.0	1.0999999999999999										
scca0587_paired_flagstats						91085811	86950853								
scca0587_paired_qualimap								40.492428586993945	243	89.77572489425319	26.180476530887933	5.691266799936384	0.9198755107977181	0.25928873637025923	3
scca0587_unpaired	0.3341	88.47655546134241	9476669.0	10710938.0	1.0										
scca0587_unpaired_flagstats						10710938	9476669								
scca0587_unpaired_qualimap								41.66600655876442		23.489269934178257	0.36121083569936885	0.048586997492248755	0.010818118048980077	0.007316942526776651	0
scca1001_paired	2.9253	92.33182127200156	62339974.0	67517323.0	1.11										
scca1001_paired_flagstats						67517323	62339974								
scca1001_paired_qualimap								40.67002858811038	250	80.54538021239566	15.75564514613289	3.5980116607827863	0.4248313066133159	0.11631093903583344	2
scca1001_unpaired	0.207	80.12730387204574	5637568.0	7035764.0	1.01										
scca1001_unpaired_flagstats						7035764	5637568								
scca1001_unpaired_qualimap								41.67485007144333		15.376686548663654	0.13305816705083198	0.0227308951128811	0.00749581603984138	0.00455431286580335	0
scca1025_paired	2.789	92.79738921516234	59250489.0	63849306.0	1.0999999999999999										
scca1025_paired_flagstats						63849306	59250489								
scca1025_paired_qualimap								40.68656546115786	233	78.18694825131158	14.839708724189897	3.3682809555102544	0.36962826235149987	0.10422649880897732	2
